address,name,kind,status,notes
0x0000c474,SEL_INT,original-symbol,verified,Shipped i960 symbol table record 74
0x0000c7ec,SEL_DSP,original-symbol,verified,Shipped i960 symbol table record 75
0x0000d014,GAME_INT,original-symbol,verified,Shipped i960 symbol table record 76
0x0000d380,GAME_DSP,original-symbol,verified,Shipped i960 symbol table record 77
0x0000d4ac,ROUND_MASK_INT,original-symbol,verified,Shipped i960 symbol table record 78
0x0000d844,ROUND_MASK_DSP,original-symbol,verified,Shipped i960 symbol table record 79
0x0000d918,drank_init,original-symbol,verified,Shipped i960 symbol table record 80
0x0000d94c,ROUND_INT,original-symbol,verified,Shipped i960 symbol table record 81
0x0000db80,ROUND_DSP,original-symbol,verified,Shipped i960 symbol table record 82
0x0000db98,SET_INT,original-symbol,verified,Shipped i960 symbol table record 83
0x0000de64,SET_DSP,original-symbol,verified,Shipped i960 symbol table record 84
0x0000deb0,READY_INT,original-symbol,verified,Shipped i960 symbol table record 85
0x0000df38,READY_DSP,original-symbol,verified,Shipped i960 symbol table record 86
0x0000df60,FIGHT_INT,original-symbol,verified,Shipped i960 symbol table record 87
0x0000e474,FIGHT_DSP,original-symbol,verified,Shipped i960 symbol table record 88
0x0000e544,JUDGE_INT,original-symbol,verified,Shipped i960 symbol table record 89
0x0000e590,JUDGE_WAIT,original-symbol,verified,Shipped i960 symbol table record 90
0x0000e5a8,JUDGE_DSP_INT,original-symbol,verified,Shipped i960 symbol table record 91
0x0000eb44,JUDGE_DSP,original-symbol,verified,Shipped i960 symbol table record 92
0x0000edf4,REPLAY_INT,original-symbol,verified,Shipped i960 symbol table record 93
0x0000f0d8,game_sub_ex,original-symbol,verified,Shipped i960 symbol table record 94
0x0000f0f4,REPLAY_DSP,original-symbol,verified,Shipped i960 symbol table record 95
0x0000f208,next_program,original-symbol,verified,Shipped i960 symbol table record 96
0x0000f61c,VIC_INT,original-symbol,verified,Shipped i960 symbol table record 97
0x0000f918,VIC_DSP,original-symbol,verified,Shipped i960 symbol table record 98
0x0000f980,INTRUDE_INT,original-symbol,verified,Shipped i960 symbol table record 99
0x0000fa50,INTRUDE_DSP,original-symbol,verified,Shipped i960 symbol table record 100
0x0000fae0,CONTINUE_INT,original-symbol,verified,Shipped i960 symbol table record 101
